Datetime,Pressure,Velocity,Motion,Dive
0,1.85,0,BOTT,-1
1,1.85,0,BOTT,-1
2,1.97,0.12,BOTT,-1
3,1.95,-0.02,BOTT,-1
4,2.02,0.07,BOTT,-1
5,1.87,-0.15,BOTT,-1
6,1.95,0.08,BOTT,-1
7,1.75,-0.2,BOTT,-1
8,1.95,0.2,BOTT,-1
9,1.85,-0.1,BOTT,-1
10,1.97,0.12,BOTT,-1
11,1.87,-0.1,BOTT,-1
12,1.92,0.05,BOTT,-1
13,1.9,-0.02,BOTT,-1
14,1.87,-0.03,BOTT,-1
15,1.9,0.03,BOTT,-1
16,1.87,-0.03,BOTT,-1
17,1.17,-0.7,ASC,-1
19,-0.1,-0.635,SURF,0
29,-0.13,-0.003,SURF,0
33,1,0.2825,DESC,0
34,1.8,0.8,BOTT,0
35,1.95,0.15,BOTT,0
36,1.92,-0.03,BOTT,0
37,1.85,-0.07,BOTT,0
38,1.9,0.05,BOTT,0
39,1.92,0.02,BOTT,0
40,1.97,0.05,BOTT,0
41,1.97,0,BOTT,0
42,2.02,0.05,BOTT,0
43,1.92,-0.1,BOTT,0
44,1.92,0,BOTT,0
45,1.97,0.05,BOTT,0
46,1.92,-0.05,BOTT,0
47,1.82,-0.1,BOTT,0
48,1.92,0.1,BOTT,0
49,1.92,0,BOTT,0
50,1.97,0.05,BOTT,0
51,1.97,0,BOTT,0
52,1.97,0,BOTT,0
53,1.97,0,BOTT,0
54,1.95,-0.02,BOTT,0
55,1.97,0.02,BOTT,0
56,1.97,0,BOTT,0
57,1.92,-0.05,BOTT,0
58,1.9,-0.02,BOTT,0
59,1.72,-0.18,BOTT,0
60,1.92,0.2,BOTT,0
61,1.87,-0.05,BOTT,0
62,1.02,-0.85,ASC,0
69,-0.1,-0.16,SURF,1
73,0.62,0.18,DESC,1
74,1.6,0.98,DESC,1
75,1.95,0.35,BOTT,1
76,2.02,0.07,BOTT,1
77,1.9,-0.12,BOTT,1
78,1.95,0.05,BOTT,1
79,1.85,-0.1,BOTT,1
80,1.85,0,BOTT,1
81,1.9,0.05,BOTT,1
82,1.9,0,BOTT,1
83,1.92,0.02,BOTT,1
84,1.92,0,BOTT,1
85,1.95,0.03,BOTT,1
86,1.87,-0.08,BOTT,1
87,1.85,-0.02,BOTT,1
88,1.95,0.1,BOTT,1
89,2.02,0.07,BOTT,1
90,1.95,-0.07,BOTT,1
91,1.92,-0.03,BOTT,1
92,1.87,-0.05,BOTT,1
93,1.95,0.08,BOTT,1
94,1.77,-0.18,BOTT,1
95,1.92,0.15,BOTT,1
96,1.87,-0.05,BOTT,1
97,1.92,0.05,BOTT,1
98,1.87,-0.05,BOTT,1
