GMT Time Correction = -28800
Lg00 (Conditional) Log:
Rec #,Date ,Time,  Pressure [dBars],       IntTemp [C]
      0,8/12/2012, 15:11:37,              1.09,              7.66
      1,8/12/2012, 15:11:39,              1.12,              7.61
      2,8/12/2012, 15:37:59,              6.04,              8.88
      3,8/12/2012, 15:38:01,              6.04,              8.73
      4,8/12/2012, 15:38:03,              6.12,              8.64
      5,8/12/2012, 15:38:05,              6.12,              8.50
      6,8/12/2012, 15:38:07,              6.24,              8.41
      7,8/12/2012, 15:38:09,              6.04,              8.31
      8,8/12/2012, 15:38:11,              6.09,              8.22
      9,8/12/2012, 15:38:13,              6.02,              8.13
     10,8/12/2012, 15:38:15,              6.12,              8.08
     11,8/12/2012, 15:38:17,              6.14,              7.98
     12,8/12/2012, 15:38:19,              6.07,              7.94
     13,8/12/2012, 15:38:21,              6.02,              7.89
     14,8/12/2012, 15:38:23,              6.12,              7.80
     15,8/12/2012, 15:38:25,              6.09,              7.80
     16,8/12/2012, 15:38:27,              5.92,              7.75
     17,8/12/2012, 15:38:29,              6.02,              7.70
     18,8/12/2012, 15:38:31,              6.07,              7.66
     19,8/12/2012, 15:38:33,              5.84,              7.61
     20,8/12/2012, 15:38:35,              4.84,              7.61
     21,8/12/2012, 15:38:37,              3.34,              7.56
     22,8/12/2012, 15:40:59,              5.89,              8.08
     23,8/12/2012, 15:41:01,              5.92,              8.03
     24,8/12/2012, 15:41:03,              5.97,              7.94
     25,8/12/2012, 15:41:05,              5.79,              7.84
     26,8/12/2012, 15:41:07,              5.92,              7.80
     27,8/12/2012, 15:41:09,              5.92,              7.75
     28,8/12/2012, 15:41:11,              5.92,              7.70
     29,8/12/2012, 15:41:13,              5.47,              7.66
     30,8/12/2012, 15:41:15,              3.17,              7.61
     31,8/12/2012, 15:43:59,              8.42,              8.08
     32,8/12/2012, 15:44:01,              8.32,              8.03
     33,8/12/2012, 15:44:03,              8.34,              7.98
     34,8/12/2012, 15:44:05,              8.32,              7.94
     35,8/12/2012, 15:44:07,              8.32,              7.94
     36,8/12/2012, 15:44:09,              8.32,              7.89
     37,8/12/2012, 15:44:11,              8.24,              7.84
     38,8/12/2012, 15:44:13,              8.27,              7.84
     39,8/12/2012, 15:44:15,              8.22,              7.80
     40,8/12/2012, 15:44:17,              8.39,              7.80
     41,8/12/2012, 15:44:19,              8.42,              7.80
     42,8/12/2012, 15:44:21,              8.32,              7.75
     43,8/12/2012, 15:44:23,              8.39,              7.75
     44,8/12/2012, 15:44:25,              8.32,              7.75
     45,8/12/2012, 15:44:27,              8.42,              7.70
     46,8/12/2012, 15:44:29,              8.34,              7.70
     47,8/12/2012, 15:44:31,              8.39,              7.70
     48,8/12/2012, 15:44:33,              8.44,              7.70
     49,8/12/2012, 15:44:35,              8.37,              7.66
     50,8/12/2012, 15:44:37,              8.47,              7.66
