GMT Time Correction = -28800
Lg20 (Basic Log) Log:
Rec #,Date ,Time,       IntTemp [C],       WetDryState
      0,8/12/2012, 14:11:59,             11.97,                 1
      1,8/12/2012, 14:12:29,             11.97,                 1
      2,8/12/2012, 14:12:59,             11.97,                 1
      3,8/12/2012, 14:13:29,             11.97,                 1
      4,8/12/2012, 14:13:59,             11.97,                 1
      5,8/12/2012, 14:14:29,             11.97,                 1
      6,8/12/2012, 14:14:59,             11.97,                 1
      7,8/12/2012, 14:15:29,             11.97,                 1
      8,8/12/2012, 14:15:59,             11.97,                 1
      9,8/12/2012, 14:16:29,             11.97,                 1
     10,8/12/2012, 14:16:59,             11.97,                 1
     11,8/12/2012, 14:17:29,             11.97,                 1
     12,8/12/2012, 14:17:59,             11.97,                 1
     13,8/12/2012, 14:18:29,             11.97,                 1
     14,8/12/2012, 14:18:59,             11.97,                 1
     15,8/12/2012, 14:19:29,             11.97,                 1
     16,8/12/2012, 14:19:59,             11.97,                 1
     17,8/12/2012, 14:20:29,             11.97,                 1
     18,8/12/2012, 14:20:59,             11.97,                 1
     19,8/12/2012, 14:21:29,             11.97,                 1
     20,8/12/2012, 14:21:59,             11.97,                 1
     21,8/12/2012, 14:22:29,             11.97,                 1
     22,8/12/2012, 14:22:59,             11.97,                 1
     23,8/12/2012, 14:23:29,             11.97,                 1
     24,8/12/2012, 14:23:59,             11.97,                 1
     25,8/12/2012, 14:24:29,             11.97,                 1
     26,8/12/2012, 14:24:59,             11.97,                 1
     27,8/12/2012, 14:25:29,             11.97,                 1
     28,8/12/2012, 14:25:59,             11.97,                 1
     29,8/12/2012, 14:26:29,             11.97,                 1
     30,8/12/2012, 14:26:59,             11.97,                 1
     31,8/12/2012, 14:27:29,             11.97,                 1
     32,8/12/2012, 14:27:59,             11.97,                 1
     33,8/12/2012, 14:28:29,             11.97,                 1
     34,8/12/2012, 14:28:59,             11.97,                 1
     35,8/12/2012, 14:29:29,             11.97,                 1
     36,8/12/2012, 14:29:59,             11.97,                 1
     37,8/12/2012, 14:30:29,             11.97,                 1
     38,8/12/2012, 14:30:59,             11.97,                 1
     39,8/12/2012, 14:31:29,             11.97,                 1
     40,8/12/2012, 14:31:59,             11.97,                 1
     41,8/12/2012, 14:32:29,             11.97,                 1
     42,8/12/2012, 14:32:59,             11.97,                 1
     43,8/12/2012, 14:33:29,             11.97,                 1
     44,8/12/2012, 14:33:59,             11.97,                 1
     45,8/12/2012, 14:34:29,             11.97,                 1
     46,8/12/2012, 14:34:59,             11.97,                 1
     47,8/12/2012, 14:35:29,             11.97,                 1
     48,8/12/2012, 14:35:59,             11.97,                 1
     49,8/12/2012, 14:36:29,             11.97,                 1
     50,8/12/2012, 14:36:59,             11.97,                 1
     51,8/12/2012, 14:37:29,             11.97,                 1
     52,8/12/2012, 14:37:59,             11.97,                 1
     53,8/12/2012, 14:38:29,             11.97,                 0
     54,8/12/2012, 14:38:59,              9.16,                 0
     55,8/12/2012, 14:39:29,              7.94,                 0
     56,8/12/2012, 14:39:59,              7.52,                 0
     57,8/12/2012, 14:40:29,              7.70,                 1
     58,8/12/2012, 14:40:59,              8.36,                 1
     59,8/12/2012, 14:41:29,             10.80,                 1
     60,8/12/2012, 14:41:59,             11.97,                 1
     61,8/12/2012, 14:42:29,             11.97,                 1
     62,8/12/2012, 14:42:59,             11.97,                 1
     63,8/12/2012, 14:43:29,             11.97,                 1
     64,8/12/2012, 14:43:59,             11.97,                 1
     65,8/12/2012, 14:44:29,             11.97,                 1
     66,8/12/2012, 14:44:59,             11.97,                 1
     67,8/12/2012, 14:45:29,             11.97,                 1
     68,8/12/2012, 14:45:59,             11.97,                 1
     69,8/12/2012, 14:46:29,             11.97,                 1
     70,8/12/2012, 14:46:59,             11.97,                 1
     71,8/12/2012, 14:47:29,             11.97,                 1
     72,8/12/2012, 14:47:59,             11.64,                 0
     73,8/12/2012, 14:48:29,              8.41,                 0
     74,8/12/2012, 14:48:59,              7.75,                 0
     75,8/12/2012, 14:49:29,              7.56,                 0
     76,8/12/2012, 14:49:59,              7.47,                 0
     77,8/12/2012, 14:50:29,              7.56,                 0
     78,8/12/2012, 14:50:59,              8.45,                 1
     79,8/12/2012, 14:51:29,              9.58,                 1
     80,8/12/2012, 14:51:59,             11.69,                 1
     81,8/12/2012, 14:52:29,             11.88,                 1
     82,8/12/2012, 14:52:59,             10.94,                 0
     83,8/12/2012, 14:53:29,              8.27,                 0
     84,8/12/2012, 14:53:59,              7.75,                 0
     85,8/12/2012, 14:54:29,              7.56,                 0
     86,8/12/2012, 14:54:59,              7.42,                 0
     87,8/12/2012, 14:55:29,              7.56,                 0
     88,8/12/2012, 14:55:59,              7.38,                 0
     89,8/12/2012, 14:56:29,              7.42,                 0
     90,8/12/2012, 14:56:59,              7.42,                 0
     91,8/12/2012, 14:57:29,              7.52,                 0
     92,8/12/2012, 14:57:59,              7.52,                 0
     93,8/12/2012, 14:58:29,              7.61,                 0
     94,8/12/2012, 14:58:59,              7.42,                 0
     95,8/12/2012, 14:59:29,              7.47,                 0
     96,8/12/2012, 14:59:59,              7.52,                 0
     97,8/12/2012, 15:00:29,              7.66,                 0
     98,8/12/2012, 15:00:59,              7.56,                 0
     99,8/12/2012, 15:01:29,              7.56,                 0
    100,8/12/2012, 15:01:59,              7.47,                 0
    101,8/12/2012, 15:02:29,              7.61,                 0
    102,8/12/2012, 15:02:59,              7.70,                 1
    103,8/12/2012, 15:03:29,              8.88,                 1
    104,8/12/2012, 15:03:59,              9.77,                 1
    105,8/12/2012, 15:04:29,             10.33,                 1
    106,8/12/2012, 15:04:59,              9.16,                 0
    107,8/12/2012, 15:05:29,              7.84,                 1
